id,indivfinfeel1,emotion_econ,intensity_econ,notes_econ,immfeel1,emotion_immigration,intensity_immigration,notes_immigration
2035,Getting worse,,,,It is OK,,,
1573,,,,,,,,
287,it stinks,,,,,,,
2305,,,,,,,,
1702,I feel that my current financial situation has a lot of room for improvement and I hope it will improve in the future.,,,,I feel diversity is a strong part of Canada as a country and immigration is important to maintaining that diversity. Immigration brings in skilled immigrants and is better for Canada overall.,,,
1881,"stable, positive",,,,it is a positive way to keep our culture progressive,,,
655,,,,,,,,
2242,"We can pay for what we have, but I would like more.  Also if something happens (illness, injury) we would be in trouble",,,,People who want to come to Canada for whatever reason generally have positive impact,,,
757,"It could be better, we live pay check to pay check with nothing for emergencies like vehicle repairs. We could probably do better with saving but it's hard",,,,"Immigration is important but  I'm Caucasian, Canadian born and there are definitely times I feel like a minority in my own backyard",,,
1986,Could get better,,,,The current situation with Syrian refugees panhandling is just the beginning of the problem,,,
2350,Things are tight,,,,Immigration is natural and everyone should welcome it,,,
266,Need lower taxes,,,,Too many coming to Canada from United States illegally through Quebec,,,
2145,It leaves a lot to be desired.,,,,Canada is doing a good job.,,,
1209,,,,,,,,
242,,,,,,,,
2375,very bad. I am unable to find a job according to my skills and qualification,,,,it's good but achieving your goals is very difficult here,,,
1755,Bad,,,,Bad,,,
179,could always use a raise,,,,everyone deserves a chance to live freely,,,
520,Amazing.,,,,It has to slow down.  We are like a 24 hour buffet.  Everyone gets fed.  Enough for now.,,,
617,My family manages to survive with our present financial situation but our income is barely keeping up with the cost of living.,,,,The way that immigration is being handled is fine with me,,,
1750,I pay the bills but there isn't much left,,,,It is essential,,,
784,I would like it to be better,,,,There needs to be careful screening,,,
345,"Not bad, get by OK",,,,"Canada has no borders at present. So, we are really not a country. We are a global position. Muslims will never assimilate. Canada should help the Roingans and white South Africans farmers off their lands.",,,
1805,I feel that my financial situation is stable,,,,it's good,,,
