id,indivfinfeel,immfeel
1,good,good
2,Comfortable,Positive
3,,
4,I feel stressed about not being able to find a job,I don't have an issue with it
5,Could be better but living comfortably,I am neutral
6,I get by but there are no extras,There should be more guidelines but allowances should be made
7,Comfortable,Comfortable
8,Not very good and not getting any better.,It must be equated to available jobs.
9,,
10,,
11,Has been better and could be worse.,Immigrants should not come to Canada expecting a free ride/life but with tools/ideas of their contribution to the country.
12,It could always get better,Everyone deserves a safe home
13,Struggling to see improvement,"I think that it is needed, but there needs to be stricter guidelines"
14,I think that Kathleen is doing a horrible job.,I think letting people in Canada like that is a bad idea
15,After studying I didn't find a better job,
16,"very poor, hardly meet my financial needs relying on the GIS",should support the immigration of the parents of the immigrants
17,Stay the same but going to get worst,watch out for former ISIS
18,Not bad,
19,Unsatisfied.  I make good money but because taxes and hydro are so expensive I feel like I will never not live pay check to pay check,Too much is happening
20,Stressed,Unfavourable
21,It could definitely be better as I am not financially secure and it completely stresses me out.,"I have no real problem with immigrants as it helps create diversity and welcomes all people to Canada, the country I love and am both grateful and privileged to be  born in. I just slightly fear things like terrorism or illegal activity, drug/human trafficking."
22,If only,Good
23,Quite content.,"When following procedures for entry, it is okay."
24,Fine,It's necessary
25,"I am on O.D.S.P. haha, disability support program, they don't think we need phones, TV, computers, full fridges, bills paid, we live cheque to cheque.","If they are fleeing then it is okay. Immigration takes a lot of work to get here and they apparently need to be able to work, if they are allowed to go onto the welfare system they should not get more than we already get ourselves."
26,I am senior living in RGI housing and that makes my financial situation liveable. But I cannot afford badly needed dental work.,We all benefit from immigration. We need new people to grow the economy. I live living in a country that is open to immigrants and refugees.
27,They are OK.,As in all things there should be a balance.
28,,
29,Fine,It keeps our population growing
30,Getting by with not much left over,Everyone should be welcome
31,Comfortable,I feel it's necessary
32,in more debt than I ever been in my life,they live better than me
33,"Living comfortably, able to put some money into savings at the end of the month.","We do not need, nor can we afford refugees. Instead, immigration should concentrate on high level skills in trades, STEM, medical and health professionals. We already have enough people in the country who desperately need help. Once there is no poverty in Canada, THEN we can entertain bringing in a small number of refugees, WILLING TO FULLY INTEGRATE!"
34,Fine,Canada is a cultural mosaic and each new point of view makes it culturally richer
35,I manage to get by,they should be forced to learn English
36,needs improvement - cost of living/food etc. increase but incomes not enough if at all to cover rising costs,"Immigrants should have to follow all the rules that Canadians have to & not have special treatment; they should not be given healthcare, roof over their heads etc. at the expense of the Canadian taxpayers. They need to work, speak & pay just like the rest of us"
37,not very good,There are far too many immigrants coming in - especially freeloaders and criminals
38,I live on ccp survivor  pension  it's not much  but it helps,I think if you are able to work and want to work that's fine by me
39,I am unhappy with my personal financial situation.,Immigration should be open to people to come to Canada and positively contribute to the country.  It should not place a burden on social assistance and welfare.
40,good,
41,needs to improve or we will not be able to keep up with expenses.  income does not go up but so much else does!,"they must abide by Canadian rules, policies, laws and not expect to come here and request changes to suit them.  IF they come they remember they are now in a new country which has welcomed them and not start raising problems"
42,,
43,Little worried the living cost is high,Increasing and development is more
44,,
45,It will get better because of job security,"There is too much. We are diluting our society. We need to focus on helping Canada and less on others. Immigration is fine, but this too much. There are many things in Canada we need to fix first"
46,dismal,it's way too high and causes a housing shortage and bubble
47,,
48,,
49,unstable,way too many and the government shouldn't be doing more for them it should be just as much as they do for people born here
50,safe and reasonable debt,it contributes to Canadian economy
51,I am scared,
52,quite tough increase cost of living,neutral
53,,
54,Little tight,Too much immigrants
55,Doing okay,It is the single worst thing
56,things are very tight right now and we are living pay check to pay check but managing. No money for any extras only bills and groceries.,I have mixed feelings. everyone deserves a safe place to live and there are lots of people who need a fresh start. sometimes it's hard when you hear stories about clashing cultures and what has happened in other countries from letting refugees in
57,,
58,,
59,Stressed,It's helpful
60,It is ok but could be better. Hoping for better soon.,Positive step in the past and critical in the presence.
61,Comfortable,
62,Could be better,Good for country
63,,
64,"Stable for now, but a job change will be necessary in the near future",Immigration is a good thing. Immigrants face a lot of obstacles already. People should be able to choose where they live.
65,,
66,Not preferable.,I'm glad to have different races in our country.
67,Taxes are too high,Is a federal issue
68,living on  a low income,too many refugees are coming through our borders.
69,good better without trump worse if doug ford elected scary,good overall
70,,
71,,
72,,
73,"my financial situation is OK, I am making ends meet",a bit unsure of this
74,The PCs will destroy Ontario but not as quickly as the other parties,PCs are going to ruin Ontario and are a party that doesn't care about the people
75,bad,good
76,I feel comfortable,Helps the economy and population
77,,
78,,
79,"Horrible. I have enough to live comfortably (although without a car) but yet I have no savings and 22,000 in debt for mostly wants and uncovered medical expenses - like supplements and advanced testing (like pharmacogenetic testing). I feel like the idea of home ownership is far in the future. And my boyfriend only earns minimum wage while I am the main bread winner.",Well Canada is a country made up almost entirely of immigrants so it would be hypocritical to not support immigration to Canada.
80,Hopeless,They should go back to the way we used to have immigration with sponsored people because just coming here and living off the system only  creates resentment
81,Stable,Would like to see better screening
82,Doing well but could have more,It is a wonderful thing
83,,
84,Ok,Ok
85,,
86,,
87,,
88,,
89,,
90,,
91,Living paycheck to paycheck,I think  closer eye has to be kept on who and how many people being let in.
92,"Stressed. Can't afford to pay down debts, save, and live.","As long as vetting systems are in place, I have no issue with it."
93,We are a one income family that is over taxed because we choose to raise our own children,It's too much too quickly.
94,Stable as it can be,Needs to be closely monitored
95,Bad,
96,I feel that I will never get ahead because of the cost of living particularly because of housing costs.,Because Canada is a large country and fairly unpopulated in large areas and the declining birthrate more immigrants should be brought in and made to settle in the underpopulated areas.
97,Very bad. Going back to school for second career to hopefully improve it,"While I agree with immigration, priority should be spent on our citizens first and foremost"
98,I feel very comfortable in the place I'm in life could not be any easier,I feel that it is not fair that they get so much money
99,,
100,I don't know,its good
101,We are currently OK.,I am an Immigrant
102,"I am living comfortably, my family provides me with the money I need as I am a student","While it is good to help out, I do believe that Canada should put a lower cap on the number of refugees it lets into the country"
103,Stressed.  Lost job of 20 years and new job pay is much less.  Liberals also took away transit tax credit which was a big help as transit costs me $22/day.,"Canada is too liberal with immigration.  They come here, get free health care, a place to live, money, a free education and free ESL classes.  Then, (a lot of them) go back to their birth country and live for 6 months.  All at tax payers expense.  They should receive these services only if they are citizens and should not be allowed to hold dual citizenship.  If you say anything then you are discriminating against them."
104,No,No
105,Bad not good,Mostly bad
106,Not great,I feel positively about it
107,,
108,I work for an online company based in the US because I can't find work on Ontario after I finished University so I'm doing okay but Ontario sucks to find jobs in.,Immigration to Canada is hard and most people don't realize how the process works and how many people wait years to get in. I'm fine with the way it is now.
109,Okay,Good
110,,
111,We are doing ok,Canada is doing a good job
112,Good I guess.,It's is a good thing
113,perfect and great,Don't think it's a good thing if many of them are coming over
114,Bad no future,Too many newcomers abuse system
115,Pretty stable,Good
116,It's not comfortable. We're getting squeezed from every side.,It's a good thing.
117,Just ok but not fine,Good way to increase
118,Pretty good,Not so bad
119,My financial situation is just okay. I find that's it's hard to save up money by doing only one job. Toronto is an expensive place to live,It helps Canadian economy
120,Terrible,"Helping immigrants is fine, but what about us Canadians living on very low incomes.  We need help too."
121,Good,It is very good for the country
122,,a much better living environment and standard.
123,"It's very difficult to pay for everyday needs. I'm not talking about wants. I'm talking about gas, food, hydro. It's all gotten way too expensive. I'm shopping clearance produce & meat at the cheap grocery stores & it's still too expensive. Something has to change!",It's a horrible shame that people are crossing into our country illegally from open borders in Quebec & then taxpayers have to put them up in shelters & hotels paying for them!!!!
124,,
125,I'm still developing,It's good
126,Pretty bad,It's ok
127,Comfortable for now but I'm worried by increased bills and taxes,"Immigration is good for the growth of Canada, they aren't taking our jobs"
128,"Minimizing and educating myself and my family about frugality and want VS need had greatly increased our happiness, financial stability, and lessened our impact on the world and its resources. The majority of Canadians live better right now than the royalty of every previous generation that has existed in this planet.",We are all ONE people. Borders are a mental construct and result from prehistoric viral memes which need to be eradicated through education.
129,Could be better,It's a good thing
130,It's fine just a few ups and downs,They should make it more strict
131,,
132,Total crap,We seem to care more about fishing licenses than illegal immigrants from all over the world. Especially USA
133,,
134,It's ok but can be stressful,I like it
135,I feel content since I have a stable source of income.,"I feel that immigration, which has security checks helps all of Canada"
136,,
137,I'm making it,It should change
138,Not,Need to be careful
139,Needs to be better,"Happy we have such diverse culture but, we loose our own culture in the mix"
140,I deserve to make more,Open to helping other people but we shouldn't forget the people of Canada
141,"I feel ok now, but am concerned about the future if the Ontario government does not balance the budget and  does not reduce taxes.",I have no problem with immigrants as long as they go through the standard procedure to make sure they are safe and will contribute to society
142,Hoping to have enough to for retiring and live comfortably,Most immigrants take jobs that Canadians will not take as too degrading or too much work for low wages.
143,Feel fairly the same however extremely concerned if the Libs are re-elected or the NDP winning the election,Need to allow real immigrants into Canada....the individuals that have properly applied and gone through the system in the normal application .
144,not worried but could be better,okay in most respects as long as they are not leaching the system.
145,I am doing OK. I am retired and I also have my husband still working.,I feel that there should be stronger policies in place with more restrictions about who should be allowed to immigrate to Canada and also who is truly a refugee. More time should be spent looking into backgrounds and  claims of these people who want to immigrate to here.
146,Worse,Better
147,Comfortable,Supportive
148,Living comfortably,"Neutral, I don't know any statistics"
149,Just about coping and managing. Would like to have a bit more income to enjoy life.,The genuine legal applications are not being processed but the fast tracked refugees are pouring in!  Seems very unfair and the sponsored legal spouses and families are broken for years on end!
150,making it,stricter laws needed
151,it sucks,neither agree or disagree
152,Comfortable,Could be better
153,I live comfortably below my means,Canada is a nation of past and current immigrants
154,I wish I had a more stable income,"I think immigrants are an asset to Canada. People who don't like immigrants fail to realize that these are the same people that do the jobs that white Canadians don't want to do. So when these white Canadians complain about immigrants taking jobs, I am beyond frustrated because they won't apply for those jobs in the first place so immigrants are not actually stealing them."
155,"It could be better.  With everything going up in prices, the government does not increase my pension.","Anyone who immigrates to Canada MUST speak either English or French and accept Canadian customs.  They want to leave their country and start in a new one, then change.  If they do not want to change, go back to where they came from."
156,Very good. On government pension as well as CPP and OAS.,all for it as that is what I was
157,"I am living comfortably, and feel positive about my future",it should be encouraged
158,Ok,Support it
159,Rough but manageable,It's important!
160,"I have enough to pay all the bills, as well as other luxuries","It helps shape our country, and creates diversity. We get to learn about other cultures"
161,Could be better,I'm fine with it
162,,
163,,
164,,
165,I wish I had a more income,I think it's wonderful that people can come over and help benefit and create benefits for the economy.
166,,
167,,
168,I'm broke but getting by,
169,I am struggling.,I'm okay with it.
170,Optimistic,Accepting
171,,
172,Getting desperate,If you encourage immigration do not require Canadian experience. And make sure process is followed
173,Got worse,Ok
