"","X","word","sentiment"
"1",1,"abacus","trust"
"2",2,"abandon","fear"
"3",3,"abandon","negative"
"4",4,"abandon","sadness"
"5",5,"abandoned","anger"
"6",6,"abandoned","fear"
"7",7,"abandoned","negative"
"8",8,"abandoned","sadness"
"9",9,"abandonment","anger"
"10",10,"abandonment","fear"
"11",11,"abandonment","negative"
"12",12,"abandonment","sadness"
"13",13,"abandonment","surprise"
"14",14,"abba","positive"
"15",15,"abbot","trust"
"16",16,"abduction","fear"
"17",17,"abduction","negative"
"18",18,"abduction","sadness"
"19",19,"abduction","surprise"
"20",20,"aberrant","negative"
"21",21,"aberration","disgust"
"22",22,"aberration","negative"
"23",23,"abhor","anger"
"24",24,"abhor","disgust"
"25",25,"abhor","fear"
"26",26,"abhor","negative"
"27",27,"abhorrent","anger"
"28",28,"abhorrent","disgust"
"29",29,"abhorrent","fear"
"30",30,"abhorrent","negative"
"31",31,"ability","positive"
"32",32,"abject","disgust"
"33",33,"abject","negative"
"34",34,"abnormal","disgust"
"35",35,"abnormal","negative"
"36",36,"abolish","anger"
"37",37,"abolish","negative"
"38",38,"abolition","negative"
"39",39,"abominable","disgust"
"40",40,"abominable","fear"
"41",41,"abominable","negative"
"42",42,"abomination","anger"
"43",43,"abomination","disgust"
"44",44,"abomination","fear"
"45",45,"abomination","negative"
"46",46,"abort","negative"
"47",47,"abortion","disgust"
"48",48,"abortion","fear"
"49",49,"abortion","negative"
"50",50,"abortion","sadness"
"51",51,"abortive","negative"
"52",52,"abortive","sadness"
"53",53,"abovementioned","positive"
"54",54,"abrasion","negative"
"55",55,"abrogate","negative"
"56",56,"abrupt","surprise"
"57",57,"abscess","negative"
"58",58,"abscess","sadness"
"59",59,"absence","fear"
"60",60,"absence","negative"
"61",61,"absence","sadness"
"62",62,"absent","negative"
"63",63,"absent","sadness"
"64",64,"absentee","negative"
"65",65,"absentee","sadness"
"66",66,"absenteeism","negative"
"67",67,"absolute","positive"
"68",68,"absolution","joy"
"69",69,"absolution","positive"
"70",70,"absolution","trust"
"71",71,"absorbed","positive"
"72",72,"absurd","negative"
